Unit_Name,Weapon_Ability,Core,Faction,Standard,Wargear,Cost,Bodygaurd
Heavy Weapons Squad,"[""Weapon"", ""*""]","[""Core"",""*""]","[""Faction"", ""*""]","[[""Covering Fire:"", "" Each time you target this unit with the Fire Overwatch Stratagem, while resolving that Stratagem, hits are scored on unmodified Hit rolls of 5+, or on unmodified Hit rolls of 4+ instead if this unit is within 6\"" of one or more friendly PLATOON units.""]]","[[""Wargear"", ""*""]]","[[""3"", ""60""]]"
Hellhammer,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Close-quarters Warfare:"", "" This model does not suffer the penalty to its Hit rolls for making ranged attacks while enemy units are within Engagement Range of it.""]]","[[""Wargear"", ""*""]]","[[""1"", ""450""]]"
Hellhound,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Flush Them Out:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, that unit cannot have the Benefit of Cover.""]]","[[""Wargear"", ""*""]]","[[""1"", ""125""]]"
Hydra,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[[""Flak Battery:"", "" Each time this model makes an attack that targets a unit that can FLY, you can re-roll the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""95""]]"
Kasrkin,"[""Weapon"", ""*""]","[""CORE"", "" Scouts 6""]","[""Faction"", ""*""]","[[""Warrior Elite:"", "" In your Command phase, you can select one Order to affect this unit until the start of your next Command phase, in addition to any other Orders issued to this unit by an OFFICER model this turn.""]]","[[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""],[""Melta Mine:"", "" Once per battle, at the start of any phase, you can select one enemy unit within 3\"" of the bearer and roll one D6: on a 2+, that enemy unit suffers D3 mortal wounds, or 2D3 mortal wounds instead if it is a VEHICLE unit.""]]","[[""10"", ""100""]]"
Leman Russ Battle Tank,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Armoured Spearhead:"", "" Each time this model makes an attack that targets an enemy unit, re-roll a Hit roll of 1 and, if that unit is within range of an objective marker you do not control, you can re-roll the Hit roll instead.""]]","[[""Wargear"", ""*""]]","[[""1"", ""180""]]"
Leman Russ Demolisher,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Line-breaker:"", "" When making ranged attacks with its demolisher battle cannon, this model can target enemy units within Engagement Range of it (provided no other friendly units are also within Engagement Range of that enemy unit). In addition, when making ranged attacks, this model does not suffer the penalty to its Hit rolls for being within Engagement Range of one or more enemy units.""]]","[[""Wargear"", ""*""]]","[[""1"", ""200""]]"
Leman Russ Eradicator,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Urban Warfare:"", "" When making ranged attacks with its eradicator nova cannon, this model can target enemy units within Engagement Range of it (provided no other friendly units are also within Engagement Range of that enemy unit). In addition, when making ranged attacks, this model does not suffer the penalty to its Hit rolls for being within Engagement Range of one or more enemy units.""]]","[[""Wargear"", ""*""]]","[[""1"", ""160""]]"
Leman Russ Executioner,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Gung-ho Executioners:"", "" Each time this model makes an attack with its executioner plasma cannon that targets a unit that is Below Half-strength, add 1 to the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""180""]]"
Leman Russ Exterminator,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Withering Hail:"", "" In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks made with its exterminator autocannon. Until the end of the phase, each time a friendly ASTRA MILITARUM unit makes an attack that targets that enemy unit, improve the Armour Penetration characteristic of that attack by 1. The same enemy unit can only be affected by this ability once per phase.""]]","[[""Wargear"", ""*""]]","[[""1"", ""180""]]"
Leman Russ Punisher,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Mow Down the Enemy:"", "" Each time this model makes an attack with its punisher gatling cannon that targets an enemy unit (excluding MONSTERS and VEHICLES), that attack has the [DEVASTATING WOUNDS] ability.""]]","[[""Wargear"", ""*""]]","[[""1"", ""160""]]"
Leman Russ Vanquisher,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Tank-killer:"", "" Each time this model makes a ranged attack with its vanquisher battle cannon that targets a MONSTER or VEHICLE unit, you can re-roll the Wound roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""155""]]"
Manticore,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Furious Barrage:"", "" Each time this model makes an attack with its storm eagle rockets that targets an enemy unit that contains five or more models, you can re-roll the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""150""]]"
Munitorum Servitors,"[""Weapon"", ""*""]","[""CORE"", ""*""]","[""Faction"", ""*""]","[[""Mindlock:"", "" While a friendly REGIMENTAL ENGINSEER model is leading this unit, improve the Ballistic Skill and Weapon Skill characteristics of ranged and melee weapons equipped by MUNITORUM SERVITOR models in this unit by 1.""]]","[[""Wargear"", ""*""]]","[[""4"", ""35""]]"
Nork Deddog,"[""Weapon"", ""*""]","[""CORE"", "" Feel No Pain 5+""]","[""Faction"", ""*""]","[[""Ogryn Bodyguard:"", "" While one or more OFFICER models are in the same unit as this model, those Officer models have the Feel No Pain 4+ ability.""], [""Thunderous Head-butt:"", "" Each time this model's unit is selected to fight, you can select one enemy unit within Engagement Range of this model and roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers D3+3 mortal wounds.""]]","[[""Wargear"", ""*""]]","[[""1"", ""60""]]"
Ogryn Bodyguard,"[""Weapon"", ""*""]","[""CORE"", "" Feel No Pain 6+""]","[""Faction"", ""*""]","[[""Ogryn Bodyguard:"", "" While one or more OFFICER models are in the same unit as this model, those Officer models have the Feel No Pain 4+ ability.""], [""Redoubled Loyalty:"", "" While this model's unit contains an OFFICER model that has lost one or more wounds, each time this model makes a melee attack, add 1 to the Hit roll and add 1 to the Wound roll.""]]","[[""Brute Shield:"", "" The bearer has a 4+ invulnerable save.""],[""Slabshield:"", "" The bearer has a Wounds characteristic of 7.""]]","[[""1"", ""40""]]"
Ogryn Squad,"[""Weapon"", ""*""]","[""CORE"", "" Feel No Pain 6+""]","[""Faction"", ""*""]","[[""Point-blank Barrage:"", "" Each time a model in this unit makes a ranged attack that targets the closest eligible target, improve the Armour Penetration characteristic of that attack by 1.""]]","[[""Wargear"", ""*""]]","[[""3"", ""65""], [""6"", ""130""]]"
Ratling Snipers,"[""Weapon"", ""*""]","[""CORE"", "" Infiltrators"", "" Stealth""]","[""Faction"", ""*""]","[[""Shoot Sharp and Scarper:"", "" In your Shooting phase, after this unit has shot, if it is not within Engagement Range of any enemy units, it can make a Normal move as if it were your Movement phase. If it does, until the end of the turn, this unit is not eligible to declare a charge.""]]","[[""Wargear"", ""*""]]","[[""5"", ""60""]]"
Regimental Attachés,"[""Weapon"", ""*""]","[""CORE"", ""*""]","[""Faction"", ""*""]","[[""Artillery Commander:"", "" At the start of your Shooting phase, select one enemy unit within 30\"" of and visible to this unit's Master of Ordnance model that has not already been selected for this ability this phase. Until the end of the phase, Blast weapons equipped by friendly ASTRA MILITARUM ARTILLERY models have the [SUSTAINED HITS 1] ability when targeting that unit.""], [""Aeronautica Commander:"", "" At the start of your Shooting phase, select one enemy unit within 30\"" of and visible to this unit's Officer of the Fleet model. Until the end of the phase, each time a friendly ASTRA MILITARUM AIRCRAFT model makes a ranged attack that targets that unit, add 1 to the Hit roll.""], [""Divination (Psychic):"", "" Enemy units that are set up on the battlefield as Reinforcements cannot be set up within 12\"" of this unit's Astropath model.""]]","[[""Wargear"", ""*""]]","[[""3"", ""40""]]"
Rogal Dorn Battle Tank,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Ablative Plating:"", "" Once per battle, when an attack is allocated to this model, you change the Damage characteristic of that attack to 0.""]]","[[""Wargear"", ""*""]]","[[""1"", ""260""]]"
Scout Sentinels,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise 1"", "" Scouts 9""]","[""Faction"", ""*""]","[[""Daring Recon:"", "" At the start of your Shooting phase, select one enemy unit within 18\"" of and visible to this unit. Until the end of the phase, each time a friendly ASTRA MILITARUM model makes an attack that targets that unit, re-roll a Hit roll of 1 and, if that attack has the [INDIRECT FIRE] ability, it does not suffer the penalty to the Hit roll for shooting at a target that is not visible to the attacking unit.""]]","[[""Wargear"", ""*""]]","[[""1"", ""60""], [""2"", ""120""], [""3"", ""180""]]"
Shadowsword,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Titan-killer:"", "" Each time this model makes a ranged attack with its volcano cannon that targets a MONSTER or VEHICLE unit, that attack has the [DEVASTATING WOUNDS] ability.""]]","[[""Wargear"", ""*""]]","[[""1"", ""440""]]"
Stormlord,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2"", "" Firing Deck 24""]","[""Faction"", ""*""]","[[""Mount Up!:"", "" At the end of your opponent's Movement phase, if there are no models currently embarked within this Transport, you can select one friendly ASTRA MILITARUM INFANTRY unit (excluding ARTILLERY units) that is wholly within 6\"" of this Transport. Unless that unit is within Engagement Range of one or more enemy units, it can embark within this Transport.""]]","[[""Wargear"", ""*""]]","[[""1"", ""460""]]"
Stormsword,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Concussive Wave:"", "" In your Shooting phase, just after selecting a target for this model's Stormsword siege cannon, roll one D6 for the target unit and every other unit within 3\"" of that unit: on a 5+, the unit being rolled for is struck by a concussive wave. After this model has finished making its attacks against that target unit this phase, each unit struck by a concussive wave suffers D3 mortal wounds.""]]","[[""Wargear"", ""*""]]","[[""1"", ""495""]]"
Tempestus Scions,"[""Weapon"", ""*""]","[""CORE"", "" Deep Strike""]","[""Faction"", ""*""]","[[""Storm Troopers:"", "" Each time a model in this unit makes an attack, re-roll a Hit roll of 1. If the target of that attack is an enemy unit within range of an objective marker, you can re-roll the Hit roll instead.""]]","[[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]","[[""5"", ""55""], [""10"", ""110""]]"
Valkyrie,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6"", "" Hover""]","[""Faction"", ""*""]","[[""Grav Chute Insertion:"", "" At the end of your opponent's Movement phase, one or more units embarked within this TRANSPORT can disembark from it, provided every model in each of those disembarking units has the Deep Strike ability.""]]","[[""Wargear"", ""*""]]","[[""1"", ""190""]]"
Wyvern,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Suppression Bombardment:"", "" In your Shooting phase, after this model has shot, select one enemy unit (excluding MONSTER and VEHICLE units) that was hit by one or more attacks made with this model's Wyvern quad stormshard mortar this phase. Until the start of your next turn, that enemy unit is suppressed. While a unit is suppressed, each time a model in that unit makes an attack, subtract 1 from the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""110""]]"
Avenger Strike Fighter,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Fiery Vengeance:"", "" Once per turn, in your opponent's Shooting phase, when another friendly ASTRA MILITARUM unit within 6\"" of this model is destroyed by an attack made by a unit that can FLY, one model from your army with this ability can use it. If it does, after the attacking unit has finished making its attacks, that model can shoot as if it were your Shooting phase, but when resolving those attacks it can only target that enemy unit (and only if it is an eligible target).""]]","[[""Wargear"", ""*""]]","[[""1"", ""130""]]"
Carnodon,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Ancient Conquest:"", "" Each time this model makes an attack that targets an enemy unit that is within your opponent's deployment zone, re-roll a Hit roll of 1 and re-roll a Wound roll of 1.""]]","[[""Wargear"", ""*""]]","[[""1"", ""160""]]"
Colossus,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Tracking Target:"", "" Each time this model is selected to shoot, provided it Remained Stationary this turn, its Colossus siege mortar has the [ANTI-MONSTER 5+] and [ANTI-VEHICLE 5+] abilities while resolving those attacks.""]]","[[""Wargear"", ""*""]]","[[""1"", ""160""]]"
Crassus,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Fire Support:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, each time a friendly model that disembarked from this TRANSPORT this turn makes an attack that targets that enemy unit, you can re-roll the Wound roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""180""]]"
Cyclops Demolition Vehicle,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise 1""]","[""Faction"", ""*""]","[[""Demolition Charges:"", "" Each time this model or an enemy unit ends a move, if this model is within 3\"" of one or more enemy units, select one of those enemy units. This model is destroyed, but instead of rolling for its Deadly Demise ability, roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers D6 mortal wounds.""], [""Unstable Payload:"", "" When rolling for this model's Deadly Demise ability, units within 6\"" suffer mortal wounds on a 4+, instead of on a 6.""]]","[[""Wargear"", ""*""]]","[[""1"", ""25""]]"
Death Rider Squadron,"[""Weapon"", ""*""]","[""CORE"", ""*""]","[""Faction"", ""*""]","[[""Screening Line:"", "" Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9\"" of this unit, if this unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6\"".""]]","[[""Wargear"", ""*""]]","[[""5"", ""70""], [""10"", ""140""]]"
Earthshaker Carriage Battery,"[""Weapon"", ""*""]","[""CORE"", ""*""]","[""Faction"", ""*""]","[[""Earthshaker Rounds:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its earthshaker cannon scored a hit against an INFANTRY unit, until the end of your opponent's next turn, that INFANTRY unit is shaken. While a unit is shaken, subtract 2\"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""]]","[[""Wargear"", ""*""]]","[[""1"", ""120""]]"
Hades Breaching Drill,"[""Weapon"", ""*""]","[""CORE"", "" Deep Strike""]","[""Faction"", ""*""]","[[""Subterranean Assault:"", "" Each time you set up this model on the battlefield using the Deep Strike ability, you can select one friendly ASTRA MILITARUM INFANTRY unit in Strategic Reserves. If you do, set up that unit anywhere on the battlefield that is wholly within 9\"" of this model and more than 9\"" away from all enemy units.""]]","[[""Wargear"", ""*""]]","[[""1"", ""110""]]"
Macharius,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Battlefield Control:"", "" Each time this model makes a ranged attack, if it is within range of an objective marker you control, re-roll a Hit roll of 1.""]]","[[""Wargear"", ""*""]]","[[""1"", ""310""]]"
Macharius Vanquisher,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Tank Hunter:"", "" Each time this model makes a ranged attack with its Macharius twin vanquisher cannon that targets a MONSTER or VEHICLE unit, you can re-roll the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""285""]]"
Macharius Vulcan,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Armoured Aggressor:"", "" Each time this model makes a ranged attack, it does not suffer the penalty to the Hit roll for being within Engagement Range of one or more enemy units.""]]","[[""Wargear"", ""*""]]","[[""1"", ""310""]]"
Malcador,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Rugged Reliability:"", "" Each time a ranged attack targets this model, worsen the Armour Penetration characteristic of that attack by 1.""]]","[[""Wargear"", ""*""]]","[[""1"", ""250""]]"
Malcador Annihilator,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Battlefield Dominance:"", "" Ranged weapons equipped by this model have the [IGNORES COVER] ability while targeting an enemy unit within half range.""]]","[[""Wargear"", ""*""]]","[[""1"", ""270""]]"
Malcador Defender,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Armoured Defender:"", "" Each time you target this model with the Fire Overwatch Stratagem, hits are scored on unmodified Hit rolls of 5+ while resolving that Stratagem.""]]","[[""Wargear"", ""*""]]","[[""1"", ""310""]]"
Malcador Infernus,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Explosive Death:"", "" When this model is destroyed, roll one D6: on a 3+, do not remove it from play - it can, after the attacking model's unit has finished making its attacks, shoot with its inferno gun as if it were your Shooting phase and as if it had its full wounds remaining. This model is then removed from play.""]]","[[""Wargear"", ""*""]]","[[""1"", ""235""]]"
Marauder Bomber,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Heavy Bombs:"", "" Each time the bearer ends a Normal move, you can select one enemy unit it moved over during that move and roll nine D6, adding 1 to each result if that unit is a MONSTER or VEHICLE: for each 5+, that unit suffers 1 mortal wound.""]]","[[""Inferno Bombs:"", "" Each time the bearer ends a Normal move, you can select one enemy unit it moved over during that move and roll nine D6, adding 1 to each result if that unit is not a MONSTER or VEHICLE: for each 5+, that unit suffers 1 mortal wound.""]]","[[""1"", ""345""]]"
Marauder Destroyer,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Bomb Drop:"", "" Each time this model ends a Normal move, you can select one enemy unit it moved over during that move and roll six D6: for each 3+, that unit suffers 1 mortal wound.""]]","[[""Wargear"", ""*""]]","[[""1"", ""375""]]"
Medusa Carriage Battery,"[""Weapon"", ""*""]","[""CORE"", ""*""]","[""Faction"", ""*""]","[[""Siege Bombardment:"", "" In your Shooting phase, after this unit has shot, select one enemy unit hit by one or more of those attacks. That enemy unit must take a Battle-shock test.""]]","[[""Wargear"", ""*""]]","[[""1"", ""110""]]"
Praetor,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Targeting Coordinates:"", "" While this model is being affected by an Order, each time it makes an attack with its Praetor launcher, it does not suffer the penalty to the Hit roll for attacking a unit that is not visible to it.""]]","[[""Wargear"", ""*""]]","[[""1"", ""275""]]"
Rapier Laser Destroyer Battery,"[""Weapon"", ""*""]","[""CORE"", ""*""]","[""Faction"", ""*""]","[[""Powerful Volley:"", "" While this unit is being affected by an Order, provided it Remained Stationary this turn, Heavy weapons equipped by models in this unit have the [LETHAL HITS] ability.""]]","[[""Wargear"", ""*""]]","[[""1"", ""35""], [""2"", ""70""], [""3"", ""105""]]"
Stormblade,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Close-range Devastation:"", "" Each time this model makes a ranged attack with its Stormblade plasma blastgun that targets a unit within half range, you can re-roll the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""415""]]"
Tarantula Battery,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise 1""]","[""Faction"", ""*""]","[[""Sentry Programming:"", "" You can target this unit with the Fire Overwatch Stratagem for 0CP, and can do so even if you have already used that Stratagem on a different unit this phase.""]]","[[""Wargear"", ""*""]]","[[""1"", ""40""], [""2"", ""80""], [""3"", ""120""]]"
Thunderbolt Heavy Fighter,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Fighter Craft:"", "" Each time this model makes a ranged attack that targets a unit that can FLY, add 1 to the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""200""]]"
Trojan Support Vehicle,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Support Vehicle:"", "" In your Command phase, select one friendly ASTRA MILITARUM VEHICLE model within 3\"" of this model. That VEHICLE model regains up to D3 lost wounds and, until the start of your next Command phase, each time that VEHICLE model makes an attack, re-roll a Hit roll of 1. The same VEHICLE model cannot be selected for both this ability and the REGIMENTAL ENGINSEER'S Omnissiah's Blessing ability in the same turn, and each model can only be selected for this ability once per Command phase.""]]","[[""Wargear"", ""*""]]","[[""1"", ""80""]]"
Valdor,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Power Overload:"", "" Each time this model makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Damage roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""285""]]"
Voss-pattern Lightning,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Agile Dogfighter:"", "" Each time an attack targets this model, subtract 1 from the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""130""]]"
Vulture Gunship,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6"", "" Hover""]","[""Faction"", ""*""]","[[""Gunship Barrage:"", "" In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks. That enemy unit must take a Battle-shock test.""]]","[[""Wargear"", ""*""]]","[[""1"", ""225""]]"
