Unit_Name,Core,Faction,Standard,Wargear,Cost,Bodygaurd
'Iron Hand' Straken,"[[""CORE"", "" Leader"", "" Scouts 6""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Cold Steel and Courage:"", "" While this model is leading a unit, melee weapons equipped by models in that unit have the [LETHAL HITS] ability.""], [""Been There, Seen it, Killed it:"", "" Each time this model makes a melee attack, if it made a Charge move this turn, you can re-roll the Hit roll and you can re-roll the Wound roll.""]]]","[[[""1"", ""55""]]]","[[""Catachan Jungle Fighters""]]"
Cadian Castellan,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Senior Officer:"", "" While this model is leading a unit, ranged weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.""], [""Get Back in the Fight:"", "" While this model is leading a unit, that unit is eligible to shoot in a turn in which it Fell Back.""]]]","[[[""1"", ""45""]]]","[[""Cadian Shock Troops"", ""Infantry Squad"", ""Kasrkin""]]"
Cadian Command Squad,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Cadia Stands!:"", "" While this unit contains a CADIAN OFFICER, you can ignore any or all modifiers to the characteristics of models in this unit and to any roll or test made for models in this unit (excluding modifiers to saving throws).""]], [[""Master Vox:"", "" Each time the OFFICER in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away.""]], [[""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""]], [[""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""]]]","[[[""5"", ""65""]]]","[[""Cadian Shock Troops""]]"
Commissar,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Summary Execution:"", "" Once per battle round, at the start of any phase, you can select one friendly ASTRA MILITARUM INFANTRY unit that is Battle-shocked and within 12\"" of this model. If you do, one model in that unit is destroyed, and that unit is then no longer Battle-shocked.""], [""Political Overwatch:"", "" While another OFFICER model is in the same unit as this model, you can re-roll Battle-shock tests taken for that unit.""]]]","[[[""1"", ""30""]]]","[[""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Tempestus Scions"", ""Death Korps Grenadier Squad""]]"
Gaunt's Ghosts,"[[""CORE"", "" Fights First"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Tanith Camo-cloaks:"", "" Each time a ranged attack targets this unit, models in this unit have the Benefit of Cover against it.""], [""Covert Stealth Team:"", "" At the end of your opponent's turn, if this unit is not within Engagement Range of one or more enemy units, you can remove this unit from the battlefield. In the Reinforcements step of your next Movement phase, set it up anywhere on the battlefield that is more than 9\"" horizontally away from all enemy models.""]]]","[[[""6"", ""100""]]]",[]
Lord Solar Leontus,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""The Lord Solar:"", "" At the start of your Command phase, If this model is on the battlefield, you gain 1CP.""], [""The Collegiate Astrolex:"", "" After both players have deployed their armies, select up to three ASTRA MILITARUM units from your army and redeploy them. When doing so, you can set those units up in Strategic Reserves if you wish, regardless of how many units are already in Strategic Reserves.""]]]","[[[""1"", ""125""]]]","[[""Attilan Rough Riders"", ""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Death Korps Grenadier Squad""]]"
Militarum Tempestus Command Squad,"[[""CORE"", "" Deep Strike"", "" Leader""]]",[],[],"[[[""Tempestor Prime:"", "" While this unit contains a TEMPESTOR PRIME, ranged weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.""]], [[""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""]], [[""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""]], [[""Command Rod:"", "" While the bearer is leading a unit, that unit can be affected by up to two different Orders at the same time.""]], [[""Master Vox:"", "" Each time the OFFICER in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away.""]]]","[[[""5"", ""80""]]]","[[""Tempestus Scions""]]"
Platoon Command Squad,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Command Structure (Aura):"", "" While a friendly PLATOON unit is within 6\"" of this unit's Platoon Commander, you can target that unit with Stratagems even while it is Battle-shocked.""]], [[""Master Vox:"", "" Each time the OFFICER in the bearer's unit issues an Order, it can issue it to an eligible unit up to 24\"" away.""]], [[""Medi-pack:"", "" The bearer's unit has the Feel No Pain 6+ ability.""]], [[""Regimental Standard:"", "" Add 1 to the Objective Control characteristic of models in the bearer's unit.""]]]","[[[""4-5"", ""60""]]]","[[""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Death Korps Grenadier Squad""]]"
Primaris Psyker,"[[""CORE"", "" Leader""]]",[],[],"[[[""Malign Wardings(Psychic):"", "" While this model is leading a unit, models in that unit have the Feel No Pain 4+ ability against Psychic Attacks.""], [""Psychic Barrier (Psychic):"", "" At the start of your opponent's Shooting phase, you can roll one D6: on a 1, this PSYKER's unit suffers D3 mortal wounds; on a 2+, until the end of the phase, models in this PSYKER's unit have a 4+ invulnerable save.""]]]","[[[""1"", ""60""]]]","[[""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Tempestus Scions"", ""Death Korps Grenadier Squad""]]"
Regimental Enginseer,"[[""CORE"", "" Leader""]]",[],[],"[[[""Enginseer:"", "" While this model is within 3\"" of one or more friendly ASTRA MILITARUM VEHICLE units, this model has the Lone Operative ability.Omnissiah's Blessing: In your Command phase, select one friendly ASTRA MILITARUM VEHICLE model within 3\"" of this model. That VEHICLE model regains up to D3 lost wounds and, until the start of your next Command phase, that VEHICLE model has a 4+ invulnerable save. Each model can only be selected for this ability once per turn.""], [""Omnissiah’s Blessing:"", "" If a friendly ASTRA MILITARUM VEHICLE model is destroyed within 12\"" of this model, until the end of the battle, this model's Enginseer axe has an Attacks characteristic of 6.""], [""Vengeance for the Omnissiah:"", nil]]]","[[[""1"", ""45""]]]","[[""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Munitorum Servitors"", ""Death Korps Grenadier Squad""]]"
Regimental Preacher,"[[""CORE"", "" Leader""]]",[],[],"[[[""War Hymns:"", "" While this model is leading a unit, melee weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.""], [""Holy Piety:"", "" Each time this model makes a melee attack, unless this model's unit is Battle-shocked, you can re-roll the Hit roll.""]]]","[[[""1"", ""35""]]]","[[""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Tempestus Scions"", ""Death Korps Grenadier Squad""]]"
Sergeant Harker,"[[""CORE"", "" Feel No Pain 6+"", "" Leader"", "" Scouts 6""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Harker’s Hellraisers:"", ""Harker's Hellraisers: While this model is leading a unit, each time a ranged attack targets that unit, if the attacking model is more than 12\"" away, subtract 1 from the Hit roll.""], [""Payback Time:"", "" Once per battle, when this model is selected to shoot, it can use this ability. If it does, until the end of the phase, its Payback weapon has an Attacks characteristic of 6 and the [SUSTAINED HITS 3] ability instead of the [SUSTAINED HITS 1] ability.""]]]","[[[""1"", ""40""]]]","[[""Catachan Jungle Fighters""]]"
Sly Marbo,"[[""CORE"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]",[],[],"[[[""One-man Army:"", "" Each time an enemy unit targets a friendly ASTRA MILITARUM unit within 3\"" of this model with ranged attacks, after that enemy unit has finished making its attacks, this model can shoot as if it were your Shooting phase.""], [""Like Fighting a Shadow:"", "" Each time this model has shot, if it is not within Engagement Range of any enemy units, it can make a Normal move as if it were your Movement phase. If it does, until the end of the turn, this model is not eligible to declare a charge.""]]]","[[[""1"", ""65""]]]",[]
Tank Commander,"[[""CORE"", "" Deadly Demise D3""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Vox-net:"", "" Each time this model issues an Order, it can issue it to an eligible unit up to 12\"" away.""], [""Death Befitting An Officer:"", "" When this model is destroyed , roll one D6: on a 2+, do not remove it from play – it can, after the attacking model's unit has finished making its attacks, shoot as if it were your Shooting phase and as if it had its full wounds remaining. This model is then removed from play.""]]]","[[[""1"", ""205""]]]",[]
Ursula Creed,[],"[[""FACTION"", "" Voice of Command""]]",[],"[[[""Lord Castellan:"", "" While this model is leading a unit, that unit can be affected by up to two different Orders at the same time.""], [""Tactical Genius:"", "" Once per battle round, one REGIMENT unit from your army within 12\"" of this model can be targeted with a Stratagem for 0CP, even if another unit from your army has already been targeted with that Stratagem this phase.""]]]","[[[""1"", ""55""]]]","[[""Cadian Shock Troops"", ""Infantry Squad"", ""Kasrkin""]]"
Death Korps Marshal,"[[""CORE"", "" Feel No Pain 5+"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Martial Dedication:"", "" While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.""], [""Cult of Sacrifice:"", "" Once per battle, you can target this model's unit with the Insane Bravery Stratagem for 0CP, and can do so even if you have already targeted a different unit with that Stratagem this phase. This cannot allow you to use the Insane Bravery Stratagem more than twice per phase.""]]]","[[[""1"", ""60""]]]","[[""Death Korps Of Krieg"", ""Infantry Squad"", ""Death Korps Grenadier Squad""]]"
Death Rider Squadron Commander,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Rapid Reconnaissance:"", "" While this model is leading a unit, models in that unit have the Infiltrators ability.""], [""Glorious Charge:"", "" Each time this model makes a Charge move, until the end of the turn, its Death Rider hunting lance has the [DEVASTATING WOUNDS] ability.""]]]","[[[""1"", ""60""]]]","[[""Death Rider Squadron""]]"
Death Rider Commissar,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]",[],"[[[""Summary Execution:"", "" Once per battle round, at the start of any phase, you can select one friendly ASTRA MILITARUM INFANTRY or ASTRA MILITARUM MOUNTED unit that is Battle-shocked and within 12\"" of this model. If you do, one model in that unit is destroyed, and that unit is then no longer Battle-shocked.""], [""Political Overwatch:"", "" While another OFFICER model is in the same unit as this model, you can re-roll Battle-shock tests taken for that unit.""]]]","[[[""1"", ""35""]]]","[[""Death Rider Squadron""]]"
Quartermaster Cadre Squad,"[[""CORE"", "" Leader""]]",[],[],"[[[""Medicae Medi-packs:"", "" Whilst this unit contains one or more Medicae Servitors, models in this unit have the Feel No Pain 5+ ability.""], [""Mindlock:"", "" While this unit contains a Quartermaster Revenant model, improve the Weapon Skill characteristic of this unit's Medical scalpels by 1.""]]]","[[[""5"", ""45""]]]","[[""Death Korps Of Krieg"", ""Infantry Squad"", ""Death Korps Grenadier Squad""]]"
Rein And Raus,"[[""CORE"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]",[],[],"[[[""Shoot Sharp and Scarper:"", "" In your Shooting phase, after this unit has shot, if it is not within Engagement Range of one or more enemy units, it can make a Normal move. If it does, until the end of the turn, this unit is not eligible to declare a charge.""], [""The Ratling Twins:"", "" While this unit contains 2 models, each time a model in this unit makes a ranged attack, you can re-roll the Hit roll and you can re-roll the Wound roll.""]]]","[[[""2"", ""50""]]]",[]
Cadian Shock Troops,[],[],[],"[[[""Shock Troops:"", "" At the end of your Command phase, if this unit is within range of an objective marker you control, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[[[""10"", ""60""], [""20"", ""120""]]]",[]
Catachan Jungle Fighters,"[[""CORE"", "" Scouts 6""]]",[],[],"[[[""Jungle Fighters:"", "" Each time a model in this unit makes a melee attack, if this unit made a Charge move or was charged this turn, improve the Strength and Armour Penetration characteristics of that attack by 1.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[[[""10"", ""55""], [""20"", ""110""]]]",[]
Death Korps Of Krieg,[],[],[],"[[[""Grim Demeanour:"", "" Each time a model in this unit makes an attack, add 1 to the Hit roll if this unit is below its Starting Strength, and add 1 to the Wound roll as well if this unit is Below Half-strength.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]], [[""Death Korps Medi-pack:"", "" At the start of your Command phase, if the bearer's unit is below its Starting Strength, you can return up to D3 destroyed Death Korps Troopers to this unit.""]]]","[[[""10"", ""65""], [""20"", ""130""]]]",[]
Infantry Squad,[],[],[],"[[[""Defenders of Humanity:"", "" Each time a ranged attack targets this unit, if this unit is within range of an objective marker you control, models in this unit have the Benefit of Cover against that attack.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[[[""9-10"", ""60""], [""18-20"", ""120""]]]",[]
Chimera,"[[""CORE"", "" Deadly Demise D3"", "" Firing Deck 2""]]",[],[],"[[[""Mobile Command Vehicle:"", "" In your Command phase, one OFFICER model embarked within this Transport can issue Orders even though it is not on the battlefield. When doing so, measure distances to and from this Transport.""]]]","[[[""1"", ""70""]]]",[]
Taurox,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Rapid Deployment:"", "" Units can disembark from this Transport after it has Advanced. Units that do so count as having made a Normal move that phase, and cannot declare a charge in the same turn, but can otherwise act normally.""]]]","[[[""1"", ""65""]]]",[]
Taurox Prime,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Fire Support:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, each time a friendly model that disembarked from this TRANSPORT this turn makes an attack that targets that enemy unit, you can re-roll the Wound roll.""]]]","[[[""1"", ""90""]]]",[]
Storm Chimera,"[[""CORE"", "" Deadly Demise D3"", "" Firing Deck 2""]]",[],[],"[[[""Mobile Command Vehicle:"", "" In your Command phase, one OFFICER model embarked within this TRANSPORT can issue Orders even though it is not on the battlefield. When doing so, measure distances to and from this TRANSPORT.""]]]","[[[""1"", ""90""]]]",[]
Aegis Defence Line,[],[],[],"[[[""Emplacement Platform:"", "" Friendly ASTRA MILITARUM INFANTRY models can be set up or end any type of move on top of the platform section of this FORTIFICATION.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this FORTIFICATION, that model has the Benefit of Cover against that attack.""], [""Fortification:"", "" While an enemy unit is only within Engagement Range of one or more FORTIFICATIONS from your army: That unit can still be selected as the target of ranged attacks, but each time such an attack is made, unless it is made with a Pistol, subtract 1 from the Hit roll. Models in that unit do not need to take Desperate Escape tests due to Falling Back while Battle-shocked, except for those that will move over enemy models when doing so.""], [""Defence Line:"", "" While an ASTRA MILITARUM INFANTRY model has the Benefit of Cover as a result of this terrain feature (see above), that model has a 4+ invulnerable save.""]], [[""1 Aegis Defence Line"", nil]]]","[[[""1"", ""145""]]]",[]
Earthshaker Platform,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Earthshaker Rounds:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its earthshaker cannon scored a hit against an enemy Infantry unit, until the end of your opponent's next turn, that unit is shaken. While a unit is shaken, subtract 2\"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]]","[[[""1"", ""110""]]]",[]
Hydra Platform,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Flak Battery:"", "" Each time this model makes an attack that targets a unit that can FLY, you can re-roll the Hit roll.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]]","[[[""1"", ""95""]]]",[]
Manticore Platform,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Furious Barrage:"", "" Each time this model makes an attack with its storm eagle rockets that targets an enemy unit that contains five or more models, you can re-roll the Hit roll.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]]","[[[""1"", ""95""]]]",[]
Sabre Weapons Battery,[],[],[],"[[[""Sentinel Directives:"", "" Each time you target this unit with the Fire Overwatch Stratagem, hits are scored on unmodified Hit rolls of 5+ when resolving that Stratagem.""]], [[""Defence Searchlight:"", "" At the start of your Shooting phase, you can select one enemy unit within 24\"" and visible to the bearer. Until the end of the phase, that unit cannot have the Benefit of Cover.""]]]","[[[""1"", ""45""], [""2"", ""90""]]]",[]
Armoured Sentinels,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Mobile Hunter-killers:"", "" Each time a model in this unit makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Wound roll.""]]]","[[[""1"", ""70""], [""2"", ""140""], [""3"", ""210""]]]",[]
Attilan Rough Riders,[],[],[],"[[[""Horsemasters:"", "" You can ignore any or all modifiers to this unit's Move characteristic and to Advance and Charge rolls made for it. In addition, this unit is eligible to shoot and declare a charge in a turn in which it Fell Back.""]]]","[[[""5"", ""70""], [""10"", ""140""]]]",[]
Baneblade,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Rolling Fortress:"", "" Each time a ranged attack is allocated to an ASTRA MILITARUM model from your army, if that model is not fully visible to every model in the attacking unit because of this BANEBLADE model, that model has the Benefit of Cover against that attack.""]]]","[[[""1"", ""480""]]]",[]
Banehammer,"[[""CORE"", "" Deadly Demise D6+2"", "" Firing Deck 12""]]",[],[],"[[[""Tremor Quake:"", "" In your Shooting phase, just after selecting a target for this model's tremor cannon, the target unit and every other enemy INFANTRY unit within 3\"" of that unit must take a Battle-shock test.""]]]","[[[""1"", ""450""]]]",[]
Banesword,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Armour Obliteration:"", "" Each time an attack made with this model's quake cannon destroys an enemy model that has the Deadly Demise ability, that model's Deadly Demise ability inflicts mortal wounds on a D6 roll of 3+ instead of on a 6.""]]]","[[[""1"", ""480""]]]",[]
Basilisk,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Earthshaker Rounds:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its earthshaker cannon scored a hit against an enemy INFANTRY unit, until the end of your opponent's next turn, that unit is shaken. While a unit is shaken, subtract 2\"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""]]]","[[[""1"", ""135""]]]",[]
Bullgryn Squad,"[[""CORE"", "" Feel No Pain 6+""]]",[],[],"[[[""Wall of Muscle:"", "" Each time an attack is allocated to a model in this unit, subtract 1 from the Damage characteristic of that attack (to a minimum of 1).""]], [[""Brute Shield:"", "" The bearer has a 4+ invulnerable save.""]], [[""Slabshield:"", "" The bearer has a Wounds characteristic of 4.""]]]","[[[""3"", ""80""], [""6"", ""160""]]]",[]
Deathstrike,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Deathstrike Missile:"", "" In your Shooting phase, each time this model is selected to shoot, if it has not shot with its Deathstrike missile this battle, you can do one of the following in addition to resolving this model's ranged attacks: ""], [""Designate Target:"", "" If this model does not have a Deathstrike Target marker on the battlefield, place a Deathstrike Target marker for this model anywhere on the battlefield.""], [""Adjust Target:"", "" If this model has a Deathstrike Target marker on the battlefield, move that marker to anywhere else on the battlefield.""]]]","[[[""1"", ""160""]]]",[]
Doomhammer,"[[""CORE"", "" Deadly Demise D6+2"", "" Firing Deck 12""]]",[],[],"[[[""Close-range Titan Killer:"", "" Each time this model's magma cannon targets an enemy MONSTER or VEHICLE unit, that target is always considered to be within half range of that weapon.""]]]","[[[""1"", ""455""]]]",[]
Field Ordnance Battery,[],[],[],"[[[""Rearm, Reload, Fire:"", "" While this unit is being affected by an Order, provided it Remained Stationary this turn, all Heavy weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.""]]]","[[[""2"", ""120""]]]",[]
Heavy Weapons Squad,[],[],[],"[[[""Covering Fire:"", "" Each time you target this unit with the Fire Overwatch Stratagem, while resolving that Stratagem, hits are scored on unmodified Hit rolls of 5+, or on unmodified Hit rolls of 4+ instead if this unit is within 6\"" of one or more friendly PLATOON units.""]]]","[[[""3"", ""60""]]]",[]
Hellhammer,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Close-quarters Warfare:"", "" This model does not suffer the penalty to its Hit rolls for making ranged attacks while enemy units are within Engagement Range of it.""]]]","[[[""1"", ""450""]]]",[]
Hellhound,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Flush Them Out:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, that unit cannot have the Benefit of Cover.""]]]","[[[""1"", ""125""]]]",[]
Hydra,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Flak Battery:"", "" Each time this model makes an attack that targets a unit that can FLY, you can re-roll the Hit roll.""]]]","[[[""1"", ""95""]]]",[]
Kasrkin,"[[""CORE"", "" Scouts 6""]]",[],[],"[[[""Warrior Elite:"", "" In your Command phase, you can select one Order to affect this unit until the start of your next Command phase, in addition to any other Orders issued to this unit by an OFFICER model this turn.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]], [[""Melta Mine:"", "" Once per battle, at the start of any phase, you can select one enemy unit within 3\"" of the bearer and roll one D6: on a 2+, that enemy unit suffers D3 mortal wounds, or 2D3 mortal wounds instead if it is a VEHICLE unit.""]]]","[[[""10"", ""100""]]]",[]
Leman Russ Battle Tank,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Armoured Spearhead:"", "" Each time this model makes an attack that targets an enemy unit, re-roll a Hit roll of 1 and, if that unit is within range of an objective marker you do not control, you can re-roll the Hit roll instead.""]]]","[[[""1"", ""180""]]]",[]
Leman Russ Demolisher,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Line-breaker:"", "" When making ranged attacks with its demolisher battle cannon, this model can target enemy units within Engagement Range of it (provided no other friendly units are also within Engagement Range of that enemy unit). In addition, when making ranged attacks, this model does not suffer the penalty to its Hit rolls for being within Engagement Range of one or more enemy units.""]]]","[[[""1"", ""200""]]]",[]
