Unit_Name,Core,Faction,Standard,Wargear,Cost,Bodygaurd
Leman Russ Eradicator,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Urban Warfare:"", "" When making ranged attacks with its eradicator nova cannon, this model can target enemy units within Engagement Range of it (provided no other friendly units are also within Engagement Range of that enemy unit). In addition, when making ranged attacks, this model does not suffer the penalty to its Hit rolls for being within Engagement Range of one or more enemy units.""]]]","[[[""1"", ""160""]]]",[]
Leman Russ Executioner,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Gung-ho Executioners:"", "" Each time this model makes an attack with its executioner plasma cannon that targets a unit that is Below Half-strength, add 1 to the Hit roll.""]]]","[[[""1"", ""180""]]]",[]
Leman Russ Exterminator,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Withering Hail:"", "" In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks made with its exterminator autocannon. Until the end of the phase, each time a friendly ASTRA MILITARUM unit makes an attack that targets that enemy unit, improve the Armour Penetration characteristic of that attack by 1. The same enemy unit can only be affected by this ability once per phase.""]]]","[[[""1"", ""180""]]]",[]
Leman Russ Punisher,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Mow Down the Enemy:"", "" Each time this model makes an attack with its punisher gatling cannon that targets an enemy unit (excluding MONSTERS and VEHICLES), that attack has the [DEVASTATING WOUNDS] ability.""]]]","[[[""1"", ""160""]]]",[]
Leman Russ Vanquisher,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Tank-killer:"", "" Each time this model makes a ranged attack with its vanquisher battle cannon that targets a MONSTER or VEHICLE unit, you can re-roll the Wound roll.""]]]","[[[""1"", ""155""]]]",[]
Manticore,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Furious Barrage:"", "" Each time this model makes an attack with its storm eagle rockets that targets an enemy unit that contains five or more models, you can re-roll the Hit roll.""]]]","[[[""1"", ""150""]]]",[]
Munitorum Servitors,[],[],[],"[[[""Mindlock:"", "" While a friendly REGIMENTAL ENGINSEER model is leading this unit, improve the Ballistic Skill and Weapon Skill characteristics of ranged and melee weapons equipped by MUNITORUM SERVITOR models in this unit by 1.""]]]","[[[""4"", ""35""]]]",[]
Nork Deddog,"[[""CORE"", "" Feel No Pain 5+""]]",[],[],"[[[""Ogryn Bodyguard:"", "" While one or more OFFICER models are in the same unit as this model, those Officer models have the Feel No Pain 4+ ability.""], [""Thunderous Head-butt:"", "" Each time this model's unit is selected to fight, you can select one enemy unit within Engagement Range of this model and roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers D3+3 mortal wounds.""]]]","[[[""1"", ""60""]]]",[]
Ogryn Bodyguard,"[[""CORE"", "" Feel No Pain 6+""]]",[],[],"[[[""Ogryn Bodyguard:"", "" While one or more OFFICER models are in the same unit as this model, those Officer models have the Feel No Pain 4+ ability.""], [""Redoubled Loyalty:"", "" While this model's unit contains an OFFICER model that has lost one or more wounds, each time this model makes a melee attack, add 1 to the Hit roll and add 1 to the Wound roll.""]], [[""Brute Shield:"", "" The bearer has a 4+ invulnerable save.""]], [[""Slabshield:"", "" The bearer has a Wounds characteristic of 7.""]]]","[[[""1"", ""40""]]]",[]
Ogryn Squad,"[[""CORE"", "" Feel No Pain 6+""]]",[],[],"[[[""Point-blank Barrage:"", "" Each time a model in this unit makes a ranged attack that targets the closest eligible target, improve the Armour Penetration characteristic of that attack by 1.""]]]","[[[""3"", ""65""], [""6"", ""130""]]]",[]
Ratling Snipers,"[[""CORE"", "" Infiltrators"", "" Stealth""]]",[],[],"[[[""Shoot Sharp and Scarper:"", "" In your Shooting phase, after this unit has shot, if it is not within Engagement Range of any enemy units, it can make a Normal move as if it were your Movement phase. If it does, until the end of the turn, this unit is not eligible to declare a charge.""]]]","[[[""5"", ""60""]]]",[]
Regimental Attachés,[],[],[],"[[[""Artillery Commander:"", "" At the start of your Shooting phase, select one enemy unit within 30\"" of and visible to this unit's Master of Ordnance model that has not already been selected for this ability this phase. Until the end of the phase, Blast weapons equipped by friendly ASTRA MILITARUM ARTILLERY models have the [SUSTAINED HITS 1] ability when targeting that unit.""], [""Aeronautica Commander:"", "" At the start of your Shooting phase, select one enemy unit within 30\"" of and visible to this unit's Officer of the Fleet model. Until the end of the phase, each time a friendly ASTRA MILITARUM AIRCRAFT model makes a ranged attack that targets that unit, add 1 to the Hit roll.""], [""Divination (Psychic):"", "" Enemy units that are set up on the battlefield as Reinforcements cannot be set up within 12\"" of this unit's Astropath model.""]]]","[[[""3"", ""40""]]]",[]
Rogal Dorn Battle Tank,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Ablative Plating:"", "" Once per battle, when an attack is allocated to this model, you change the Damage characteristic of that attack to 0.""]]]","[[[""1"", ""260""]]]",[]
Scout Sentinels,"[[""CORE"", "" Deadly Demise 1"", "" Scouts 9""]]",[],[],"[[[""Daring Recon:"", "" At the start of your Shooting phase, select one enemy unit within 18\"" of and visible to this unit. Until the end of the phase, each time a friendly ASTRA MILITARUM model makes an attack that targets that unit, re-roll a Hit roll of 1 and, if that attack has the [INDIRECT FIRE] ability, it does not suffer the penalty to the Hit roll for shooting at a target that is not visible to the attacking unit.""]]]","[[[""1"", ""60""], [""2"", ""120""], [""3"", ""180""]]]",[]
Shadowsword,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Titan-killer:"", "" Each time this model makes a ranged attack with its volcano cannon that targets a MONSTER or VEHICLE unit, that attack has the [DEVASTATING WOUNDS] ability.""]]]","[[[""1"", ""440""]]]",[]
Stormlord,"[[""CORE"", "" Deadly Demise D6+2"", "" Firing Deck 24""]]",[],[],"[[[""Mount Up!:"", "" At the end of your opponent's Movement phase, if there are no models currently embarked within this Transport, you can select one friendly ASTRA MILITARUM INFANTRY unit (excluding ARTILLERY units) that is wholly within 6\"" of this Transport. Unless that unit is within Engagement Range of one or more enemy units, it can embark within this Transport.""]]]","[[[""1"", ""460""]]]",[]
Stormsword,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Concussive Wave:"", "" In your Shooting phase, just after selecting a target for this model's Stormsword siege cannon, roll one D6 for the target unit and every other unit within 3\"" of that unit: on a 5+, the unit being rolled for is struck by a concussive wave. After this model has finished making its attacks against that target unit this phase, each unit struck by a concussive wave suffers D3 mortal wounds.""]]]","[[[""1"", ""495""]]]",[]
Tempestus Scions,"[[""CORE"", "" Deep Strike""]]",[],[],"[[[""Storm Troopers:"", "" Each time a model in this unit makes an attack, re-roll a Hit roll of 1. If the target of that attack is an enemy unit within range of an objective marker, you can re-roll the Hit roll instead.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[[[""5"", ""55""], [""10"", ""110""]]]",[]
Valkyrie,"[[""CORE"", "" Deadly Demise D6"", "" Hover""]]",[],[],"[[[""Grav Chute Insertion:"", "" At the end of your opponent's Movement phase, one or more units embarked within this TRANSPORT can disembark from it, provided every model in each of those disembarking units has the Deep Strike ability.""]]]","[[[""1"", ""190""]]]",[]
Wyvern,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Suppression Bombardment:"", "" In your Shooting phase, after this model has shot, select one enemy unit (excluding MONSTER and VEHICLE units) that was hit by one or more attacks made with this model's Wyvern quad stormshard mortar this phase. Until the start of your next turn, that enemy unit is suppressed. While a unit is suppressed, each time a model in that unit makes an attack, subtract 1 from the Hit roll.""]]]","[[[""1"", ""110""]]]",[]
Avenger Strike Fighter,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Fiery Vengeance:"", "" Once per turn, in your opponent's Shooting phase, when another friendly ASTRA MILITARUM unit within 6\"" of this model is destroyed by an attack made by a unit that can FLY, one model from your army with this ability can use it. If it does, after the attacking unit has finished making its attacks, that model can shoot as if it were your Shooting phase, but when resolving those attacks it can only target that enemy unit (and only if it is an eligible target).""]]]","[[[""1"", ""130""]]]",[]
Carnodon,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Ancient Conquest:"", "" Each time this model makes an attack that targets an enemy unit that is within your opponent's deployment zone, re-roll a Hit roll of 1 and re-roll a Wound roll of 1.""]]]","[[[""1"", ""160""]]]",[]
Colossus,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Tracking Target:"", "" Each time this model is selected to shoot, provided it Remained Stationary this turn, its Colossus siege mortar has the [ANTI-MONSTER 5+] and [ANTI-VEHICLE 5+] abilities while resolving those attacks.""]]]","[[[""1"", ""160""]]]",[]
Crassus,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Fire Support:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, each time a friendly model that disembarked from this TRANSPORT this turn makes an attack that targets that enemy unit, you can re-roll the Wound roll.""]]]","[[[""1"", ""180""]]]",[]
Cyclops Demolition Vehicle,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Demolition Charges:"", "" Each time this model or an enemy unit ends a move, if this model is within 3\"" of one or more enemy units, select one of those enemy units. This model is destroyed, but instead of rolling for its Deadly Demise ability, roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers D6 mortal wounds.""], [""Unstable Payload:"", "" When rolling for this model's Deadly Demise ability, units within 6\"" suffer mortal wounds on a 4+, instead of on a 6.""]]]","[[[""1"", ""25""]]]",[]
Death Rider Squadron,[],[],[],"[[[""Screening Line:"", "" Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9\"" of this unit, if this unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6\"".""]]]","[[[""5"", ""70""], [""10"", ""140""]]]",[]
Earthshaker Carriage Battery,[],[],[],"[[[""Earthshaker Rounds:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its earthshaker cannon scored a hit against an INFANTRY unit, until the end of your opponent's next turn, that INFANTRY unit is shaken. While a unit is shaken, subtract 2\"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""]]]","[[[""1"", ""120""]]]",[]
Hades Breaching Drill,"[[""CORE"", "" Deep Strike""]]",[],[],"[[[""Subterranean Assault:"", "" Each time you set up this model on the battlefield using the Deep Strike ability, you can select one friendly ASTRA MILITARUM INFANTRY unit in Strategic Reserves. If you do, set up that unit anywhere on the battlefield that is wholly within 9\"" of this model and more than 9\"" away from all enemy units.""]]]","[[[""1"", ""110""]]]",[]
Macharius,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Battlefield Control:"", "" Each time this model makes a ranged attack, if it is within range of an objective marker you control, re-roll a Hit roll of 1.""]]]","[[[""1"", ""310""]]]",[]
Macharius Vanquisher,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Tank Hunter:"", "" Each time this model makes a ranged attack with its Macharius twin vanquisher cannon that targets a MONSTER or VEHICLE unit, you can re-roll the Hit roll.""]]]","[[[""1"", ""285""]]]",[]
Macharius Vulcan,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Armoured Aggressor:"", "" Each time this model makes a ranged attack, it does not suffer the penalty to the Hit roll for being within Engagement Range of one or more enemy units.""]]]","[[[""1"", ""310""]]]",[]
Malcador,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Rugged Reliability:"", "" Each time a ranged attack targets this model, worsen the Armour Penetration characteristic of that attack by 1.""]]]","[[[""1"", ""250""]]]",[]
Malcador Annihilator,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Battlefield Dominance:"", "" Ranged weapons equipped by this model have the [IGNORES COVER] ability while targeting an enemy unit within half range.""]]]","[[[""1"", ""270""]]]",[]
Malcador Defender,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Armoured Defender:"", "" Each time you target this model with the Fire Overwatch Stratagem, hits are scored on unmodified Hit rolls of 5+ while resolving that Stratagem.""]]]","[[[""1"", ""310""]]]",[]
Malcador Infernus,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Explosive Death:"", "" When this model is destroyed, roll one D6: on a 3+, do not remove it from play – it can, after the attacking model's unit has finished making its attacks, shoot with its inferno gun as if it were your Shooting phase and as if it had its full wounds remaining. This model is then removed from play.""]]]","[[[""1"", ""235""]]]",[]
Marauder Bomber,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Heavy Bombs:"", "" Each time the bearer ends a Normal move, you can select one enemy unit it moved over during that move and roll nine D6, adding 1 to each result if that unit is a MONSTER or VEHICLE: for each 5+, that unit suffers 1 mortal wound.""]], [[""Inferno Bombs:"", "" Each time the bearer ends a Normal move, you can select one enemy unit it moved over during that move and roll nine D6, adding 1 to each result if that unit is not a MONSTER or VEHICLE: for each 5+, that unit suffers 1 mortal wound.""]]]","[[[""1"", ""345""]]]",[]
Marauder Destroyer,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Bomb Drop:"", "" Each time this model ends a Normal move, you can select one enemy unit it moved over during that move and roll six D6: for each 3+, that unit suffers 1 mortal wound.""]]]","[[[""1"", ""375""]]]",[]
Medusa Carriage Battery,[],[],[],"[[[""Siege Bombardment:"", "" In your Shooting phase, after this unit has shot, select one enemy unit hit by one or more of those attacks. That enemy unit must take a Battle-shock test.""]]]","[[[""1"", ""110""]]]",[]
Praetor,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Targeting Coordinates:"", "" While this model is being affected by an Order, each time it makes an attack with its Praetor launcher, it does not suffer the penalty to the Hit roll for attacking a unit that is not visible to it.""]]]","[[[""1"", ""275""]]]",[]
Rapier Laser Destroyer Battery,[],[],[],"[[[""Powerful Volley:"", "" While this unit is being affected by an Order, provided it Remained Stationary this turn, Heavy weapons equipped by models in this unit have the [LETHAL HITS] ability.""]]]","[[[""1"", ""35""], [""2"", ""70""], [""3"", ""105""]]]",[]
Stormblade,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Close-range Devastation:"", "" Each time this model makes a ranged attack with its Stormblade plasma blastgun that targets a unit within half range, you can re-roll the Hit roll.""]]]","[[[""1"", ""415""]]]",[]
Tarantula Battery,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Sentry Programming:"", "" You can target this unit with the Fire Overwatch Stratagem for 0CP, and can do so even if you have already used that Stratagem on a different unit this phase.""]]]","[[[""1"", ""40""], [""2"", ""80""], [""3"", ""120""]]]",[]
Thunderbolt Heavy Fighter,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Fighter Craft:"", "" Each time this model makes a ranged attack that targets a unit that can FLY, add 1 to the Hit roll.""]]]","[[[""1"", ""200""]]]",[]
Trojan Support Vehicle,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Support Vehicle:"", "" In your Command phase, select one friendly ASTRA MILITARUM VEHICLE model within 3\"" of this model. That VEHICLE model regains up to D3 lost wounds and, until the start of your next Command phase, each time that VEHICLE model makes an attack, re-roll a Hit roll of 1. The same VEHICLE model cannot be selected for both this ability and the REGIMENTAL ENGINSEER'S Omnissiah's Blessing ability in the same turn, and each model can only be selected for this ability once per Command phase.""]]]","[[[""1"", ""80""]]]",[]
Valdor,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Power Overload:"", "" Each time this model makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Damage roll.""]]]","[[[""1"", ""285""]]]",[]
Voss-pattern Lightning,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Agile Dogfighter:"", "" Each time an attack targets this model, subtract 1 from the Hit roll.""]]]","[[[""1"", ""130""]]]",[]
Vulture Gunship,"[[""CORE"", "" Deadly Demise D6"", "" Hover""]]",[],[],"[[[""Gunship Barrage:"", "" In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks. That enemy unit must take a Battle-shock test.""]]]","[[[""1"", ""225""]]]",[]
Aquila Lander,"[[""CORE"", "" Deadly Demise D3"", "" Hover""]]",[],[],"[[[""Aerial Deployment:"", "" If this model starts the game in Hover mode and in Strategic Reserves, it can be set up in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules.""]]]","[[[""1"", ""120""]]]",[]
Arkurian Stormhammer,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Rolling Fortress:"", "" Each time a ranged attack is allocated to an ASTRA MILITARUM model from your army, if that model is not fully visible to every model in the attacking unit because of this ARKURIAN STORMHAMMER model, that model has the Benefit of Cover against that attack.""]]]","[[[""1"", ""480""]]]",[]
Armageddon-pattern Medusa,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Pinning Bombardment:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its Medusa siege cannon scored a hit against an enemy INFANTRY unit, that unit must take a Battle-shock test.""]]]","[[[""1"", ""105""]]]",[]
Arvus Lighter,"[[""CORE"", "" Deadly Demise 1"", "" Hover""]]",[],[],"[[[""Aerial Deployment:"", "" If this model starts the game in Hover mode and in Strategic Reserves, it can be set up in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules.""]]]","[[[""1"", ""95""]]]",[]
Atlas Recovery Vehicle,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Recovery Vehicle:"", "" At the end of your Movement phase, you can select one friendly ASTRA MILITARUM VEHICLE model within 3\"" of this model. That VEHICLE model regains up to D3 lost wounds. Each model can only be selected for this ability once per turn.""]]]","[[[""1"", ""80""]]]",[]
Centaur Light Carrier,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Blistering Advance:"", "" Units can disembark from this TRANSPORT after it has Advanced. Units that do so count as having made a Normal move that phase, and cannot declare a charge in the same turn, but can otherwise act normally in the remainder of the turn.""]]]","[[[""1"", ""40""]]]",[]
Death Korps Grenadier Squad,[],[],[],"[[[""Primed and Ready:"", "" In your Shooting phase, you can select one unit from your army with this ability as the target of the Grenade Stratagem for 0CP, provided that unit has not already been the target of that Stratagem this phase. This can allow you to use the Grenade Stratagem for a second time this phase.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[[[""10"", ""110""]]]",[]
Dominus Armoured Siege Bombard,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Pinning Bombardment:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its Dominus triple bombard scored a hit against an enemy INFANTRY unit, that unit must take a Battle-shock test.""]]]","[[[""1"", ""325""]]]",[]
Elysian Drop Sentinel,"[[""CORE"", "" Deadly Demise 1"", "" Deep Strike""]]",[],[],"[[[""Meteoric Descent:"", "" When this model is set up on the battlefield using the Deep Strike ability, it can perform a meteoric descent. If it does, this model can be set up anywhere on the battlefield that is more than 3\"" horizontally away from all enemy units, but until the end of the turn, it is not eligible to declare a charge.""]]]","[[[""1"", ""85""]]]",[]
Elysian Sniper Squad,"[[""CORE"", "" Deep Strike""]]",[],[],"[[[""Mark the Target:"", "" Each time this unit Remains Stationary, until the start of your next Movement phase, ranged weapons equipped by models in this unit have the [DEVASTATING WOUNDS] ability.""]]]","[[[""3"", ""65""]]]",[]
Gorgon Heavy Transport,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Mount Up!:"", "" At the end of your opponent's Movement phase, if there are no models currently embarked within this TRANSPORT, you can select one friendly ASTRA MILITARUM INFANTRY unit (excluding ARTILLERY units) that is wholly within 6\"" of this TRANSPORT. Unless that unit is within Engagement Range of one or more enemy units, it can embark within this TRANSPORT.""]]]","[[[""1"", ""275""]]]",[]
Griffon Mortar Carrier,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Suppression Bombardment:"", "" In your Shooting phase, after this model has shot, select one enemy unit (excluding MONSTER and VEHICLE units) hit by one or more of those attacks made with this model's Griffon heavy mortar. Unit the start of your next turn, that enemy unit is suppressed. While a unit is suppressed, each time a model in that unit makes an attack, subtract 1 from the Hit roll.""]]]","[[[""1"", ""115""]]]",[]
Heavy Mortar Team,[],[],[],"[[[""Rearm, Reload, Fire:"", "" While this model is being affected by an Order, provided it Remained Stationary this turn, ranged weapons equipped by this model have the [SUSTAINED HITS 1] ability.""]], [[""Designer’s Note:"", ""Designer's Note: Place three Crew tokens next to this model when it is first set up, removing one each time this model loses a wound (the Heavy Mortar Team model itself is considered to represent its final wound).""]]]","[[[""1"", ""50""]]]",[]
Heavy Quad Launcher Team,[],[],[],"[[[""Suppression Bombardment:"", "" In your Shooting phase, after this model has shot, select one enemy unit (excluding MONSTER and VEHICLE units) hit by one or more of those attacks. Unit the start of your next turn, that enemy unit is suppressed. While a unit is suppressed, each time a model in that unit makes an attack, subtract 1 from the Hit roll.""]], [[""Designer’s Note:"", ""Designer's Note: Place three Crew tokens next to this model when it is first set up, removing one each time this model loses a wound (the Heavy Quad Launcher Team model itself is considered to represent its final wound).""]]]","[[[""1"", ""50""]]]",[]
Macharius Omega,"[[""CORE"", "" Deadly Demise D6+2""]]",[],[],"[[[""Overwhelming Short-range Firepower:"", "" Each time this model makes an attack that targets the closest eligible enemy unit, re-roll a Hit roll of 1 and re-roll a Wound roll or 1.""]]]","[[[""1"", ""310""]]]",[]
Minotaur,"[[""CORE"", "" Deadly Demise D6""]]",[],[],"[[[""Armoured Frontis:"", "" Each time an attack is allocated to this model, subtract 1 from the Damage characteristic of that attack.""]]]","[[[""1"", ""225""]]]",[]
Mukaali Riders,"[[""CORE"", "" Scouts 6""]]",[],[],"[[[""Desert Riders:"", "" You can ignore any or all modifiers to this unit's Move characteristic and to Advance and Charge rolls made for it. In addition, this unit is eligible to shoot and declare a charge in a turn in which it Fell Back.""]]]","[[[""3"", ""110""]]]",[]
Salamander Command Vehicle,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Auspex Surveyor:"", "" Each time this model has shot, select one enemy unit hit by one or more of those attacks. Until the end of the phase, that unit cannot have the Benefit of Cover.""]]]","[[[""1"", ""80""]]]",[]
Salamander Scout Vehicle,"[[""CORE"", "" Deadly Demise D3"", "" Scouts 9""]]",[],[],"[[[""Outflank:"", "" When this model arrives from Strategic Reserves, it can be set up within your opponent's deployment zone (all other restrictions still apply).""]]]","[[[""1"", ""95""]]]",[]
Sentinel Powerlifter,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Powerlifter Charge:"", "" Each time this model ends a Charge move, select one enemy unit within Engagement Range of it and roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers 3 mortal wounds.""]]]","[[[""1"", ""55""]]]",[]
Stygies Destroyer Tank Hunter,"[[""CORE"", "" Deadly Demise D3""]]",[],[],"[[[""Tank Hunter:"", "" Each time this model makes a ranged attack that targets a VEHICLE unit, add 1 to the Wound roll.""]]]","[[[""1"", ""180""]]]",[]
Tauros Assault Vehicle,"[[""CORE"", "" Deadly Demise 1"", "" Scouts 9""]]",[],[],"[[[""Turbo-boost:"", "" Each time this model Advances, do not make an Advance roll for it. Instead, until the end of the phase, add 6\"" to the Move characteristic of this model.""]]]","[[[""1"", ""50""]]]",[]
Tauros Venator,"[[""CORE"", "" Deadly Demise 1""]]",[],[],"[[[""Mobile Hunter-killer:"", "" Each time this model makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Wound roll.""]]]","[[[""1"", ""55""]]]",[]
Valkyrie Sky Talon,"[[""CORE"", "" Deadly Demise D6"", "" Hover""]]",[],[],"[[[""Fire Support:"", "" In your Shooting phase, after this model has shot, select one enemy unit it scored one or more hits against this phase. Until the end of the phase, each time a friendly model that disembarked from this TRANSPORT this turn makes an attack that targets that enemy unit, you can re-roll the Wound roll.""]]]","[[[""1"", ""185""]]]",[]
Vendetta Gunship,"[[""CORE"", "" Deadly Demise D3"", "" Hover""]]",[],[],"[[[""Anti-armour Gunship:"", "" Each time a ranged attack made by this model is allocated to a MONSTER or VEHICLE model, re-roll a Damage roll of 1.""]]]","[[[""1"", ""255""]]]",[]
